Book,Army,Var,Army Name,,Topography,Agg,General,1,2,3,4,5,6,7,8,9,10,Check,,Kn,HCh,Cv,LCh,Cm,LH,LCm,El,SCh,Pk,Sp,Bd,Bw,Lb,Cb,Wb,Hd,Ax,Ps,Art,WWg,CWg,CP,Lit,Enemies,Allies
1,36,c,Sicel Army 480-380 BC,h3,Hilly,3,3/4Ax or Sp or Cv,5x3Ax or Sp,5x3Ax,1xPs,,,,,,,,3,,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,"I/52i, 61a, 61b, II/5h, 9a",I/52i or 61b
1,36,d,Armies of other Italian Hill Tribes 1000-124 BC,h3,Hilly,3,3/4Ax or Sp or Cv,10x3Ax or 3Wb,1xPs,,,,,,,,,3,,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,"I/33a, 33b, 36a, 36d, 52i, 55a, 55b, 55c, 55d, 55e, 57a, 57b, 59, II/8a, 8b, 8c, 10, 13",I/55c
1,37,a,Taurus or Zagros Highland Army 950-750 BC,h1,Hilly,1,LCh,2xCv,5x3Ax,4xPs,,,,,,,,1,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"I/5d, 25a, 25b, 37a, 39a, 39b, 41a, 42",I/6b or 25a or (39a and/or 41a)
1,37,b,Taurus and Zagros Highland Army 749-610 BC,h1,Hilly,1,HCh,1xCv/LH,5x3Ax,4xPs or 3Bw,,,,,,,,1,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"I/25b, 37b, 39b, 40, 41a, 41b, 42, 43a, 44a, 45, 51",I/(39b and/or 41a) or (45 or 51)
1,38,,Libyan Egyptian Army 946-712 BC,l2,Littoral,2,LCh or Cv,2xLCh,1x4Bd or Sp or Cv,3x4Wb,1x4Ax,1x4Bw,2xPs,1xPs,,,,2,,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"I/6a, 6b, 25b, 29b, 34b, 34c, 38, 45, 46a, 46b",
1,39,a,Urartian Army 880-765 BC,h3,Hilly,3,1xLCh,1xCv,5x3Ax,4x3Ax or Ps,1x7Hd,,,,,,,1,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"I/25b, 31b, 37a, 40, 41a",I/37a
1,39,b,Urartian Army 764-585 BC,h3,Hilly,3,1xHCh,1xCv,1xCv or LH,3x4Ax,5x3Ax or Ps,1x7Hd,,,,,,1,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"I/25b, 31b, 37a, 37b, 40, 41a, 41b, 45, 51","I/37a and/or 37b, and/or 41a, and/or (31b or 43a)"
1,40,,Phrygian Army 851-676 BC,a1,Arable,1,LCh,1xLCh,1xLH or Cv,7x3Ax,2xPs,,,,,,,1,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"I/25b, 30b, 30c, 31b, 37b, 39a, 39b, 43a, 45, 48, 50, 51",I/39a or 39b or 43a
1,41,a,"Medes, Zickirtu, Andia or Parsua Army 835-621 BC",a2,Arable,2,1xLCh or Cv,4xCv,4x3Ax,3xPs,,,,,,,,2,,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"I/25b, 37a, 37b, 39a, 39b, 41a, 42, 43a, 45, 51",I/43a
1,41,b,Median Army 620-550 BC,a2,Arable,2,1xLCh or Cv,3xCv,1xLH or 3Ax or Cv,3xSp,2x3Bw,1xSp or 3/4 Bw,1xPs,,,,,2,,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"I/35c, 37b, 39b, 41b, 43a, 44b, 50, 51, 60a",I/43a
1,42,,Neo-Elamite Army 800-639 BC,h2,Hilly,2,HCh or Mtd-3Bw,2xMtd-3Bw,1xLH,7x3Bw,1x3Ax or 3Bw or Ps,,,,,,,2,,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"I/21b, 25b, 37a, 37b, 41a, 43a, 44a, 45, 51",I/6b or 44a
1,43,a,"Kimmerian, Skythian Army 750-301 BC",s4,Steppe,4,Cv or LH,8xLH,3xLH or Ps or (7Hd or 3Ax),,,,,,,,,16,,0,0,1,0,0,11,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,"I/14d, 14e, 23b, 30c, 32c, 37b, 40, 41a, 41b, 42, 43a, 43c, 44a, 45, 48, 50, 51, 60a, 60c, II/2, 4a, 4c, 4e, 5i, 7, 12, 15, 17a, 19a, 21a, 24, 25, 26",I/14b or 37b or 39b or 48 or 52g or II/5i
1,43,b,Kimmerian Army 350 BC-19 BC and Early Hu Army 400 BC-70 AD,s4,Steppe,4,Kn or Cv,1xLH or 3Kn or Cv,8xLH,2xLH or Ps or (7Hd or 3Ax),,,,,,,,17,,1,0,1,0,0,11,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,"I/43b, 43c, 48, II/2, 3a, 4e, 17b, 19a, 19b, 21a, 24, 25, 26, 28b, 36a, 37, 38a, 41a, 41b, 46a, 46b, 48","I/14b, II/19d"
1,43,c,Massagetae Army 550-150 BC,s2,Steppe,2,Cv,1xCv,7xLH,2x3Bw or Ps,1x3Ax or 7Hd,,,,,,,17,,0,0,1,0,0,12,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,"I/23b, 43a, 43b, 60a, 60c, II/2, 7, 24, 26, 36a, 37",II/2
1,44,a,Early Neo-Babylonian Army 746-605 BC,a1,Arable,1,HCh,1xHCh,2xCv,1x4Ax,7x3Bw or Ps,,,,,,,1,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"I/6a, 6b, 34c, 35c, 37b, 42, 43a, 45, 51, 53",I/6b or 41a or 42
1,44,b,Later Neo-Babylonian Army 604-589 BC and 522-482 BC,a1,Arable,1,HCh,1xHCh,2xCv,4x8Bw,1xSp or 3/4Bw,1x3Ax or Ps,2x7Hd or Ps,,,,,1,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"I/6a, 6b, 34c, 35c, 50, 51, 53, 60a",I/6b
1,45,,Neo-Assyrian Imperial Army,a4,Arable,4,HCh,3xHCh,2xCv,1x3Bd or 4Ax,2x4Ax,1x3Ax,2x7Hd or Ps,,,,,1,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"I/6a, 6b, 29b, 34c, 35b, 37b, 38, 40, 41a, 42, 43a, 44a, 46b, 50",I/6b or 29b or 31b or 34c or 35b or 37b or 38 or 40 or 41a
1,46,a,Early Kushite Egyptian Army 745-728 BC,s3,Steppe,3,LCh,1xLCh,2xCv,2x3Ax,4xPs or 3Bw,2xPs,,,,,,1,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,I/38,I/38
1,46,b,Kushite Egyptian Army 727-664 BC,l3,Littoral,3,HCh,1xHCh,2xCv,1x3Ax,2xPs or 3Bw,2xSp,1x3Ax or Ps,1x4Ax,1x4Bw,,,1,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"I/6a, 6b, 7b, 7c, 29b, 34c, 38, 45, 51",
1,46,c,Later Kushite Army 663-593 BC,s3,Steppe,3,HCh,1xHCh,2xCv,2x3Ax,4xPs or 3Bw,2xPs,,,,,,1,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,I/53,
1,47,,Illyrian Army 700BC-10 AD,h3,Hilly,3,LH or 4Ax,9x3/4Ax,2xPs,,,,,,,,,2,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"I/14c, 47, 48, 52c, 52d, 52h, 54, 63, II/5d, 5e. 5i, 11, 12, 15, 17a, 17b, 18a, 27a, 31a, 31b, 31c, 31e, 31f, 31g, 31h, 31i, 31j, 33, 35, 47g, 49, 52, 56",I/63 or II/9 or 33
1,48,,Thracian Army 700BC-46 AD,h1,Hilly,1,Cv or 3Kn or 4Ax,3xLH or 4Ax,6xPs or 3/4Ax,2xPs,,,,,,,,3,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"I/30c, 40, 43a, 43b, 47, 48, 50, 52e, 52f, 52g, 54, 60a, 63, II/5b, 5i, 11, 12, 15, 17a, 17b, 18a, 19a, 19b, 19c, 24, 30a, 30b, 33, 35, 49, 56",II/5i or 56
1,49,a,Van-lang or Au Lac Vietnamese Army 700-207 BC,t1,Tropical,1,3Wb,4x3Wb,3x3Bw or 3Cb or Ps,1x3Ax,3xPs,,,,,,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"I/32b, 32c, 49a, II/4a, 4b, 4d, 4e, 29",
1,49,b,Nan-Yueh Army 206-111 BC,t1,Tropical,1,HCh,1x4Ax,1x4Bd,2x4Cb,3x3Wb,2x3Bw or 3Cb or Ps,2xPs,,,,,1,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"I/49b, II/4e, 29, 41a",
1,49,c,Early Vietnamese Army 110 BC-247 AD,t1,Tropical,1,Cv,2x4Ax or 4Bd,2x4Cb or Ps,3x3Wb,2x3Bw or 3Cb or Ps,2xPs,,,,,,1,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"I/49c, II/41b, 63",
1,49,d,Early Vietnamese Army 248-938 AD,t1,Tropical,1,El or Cv or 4Bd,2x4Ax or 4Bd,2x4Cb or Ps,3x3Wb,2x3Bw or 3Cb or Ps,2xPs,,,,,,3,,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"I/49d, II/63, 79b, III/9a, 20a, 20b, 20c, 23b, 36, 39","III/23a, 23b"
1,50,,Lydian Army 687-540 BC,h1,Hilly,1,LCh or 3Kn,2x3Kn,2xLH,4xSp or 4Ax,3xPs,,,,,,,2,,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"I/30c, 40, 41b, 43a, 44b, 45, 48, 51, 60a, 60b",I/52g
1,51,,Later Sargonid Assyrian Army 680-609 BC,a4,Arable,2,HCh,1xHCh,2xCv,1xSp,2xSp,2x4Bw or Ps,2x4Ax,1x7Hd or Ps,,,,1,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"I/6a, 6b, 29b, 34c, 35c, 37b, 39b, 40, 41a, 41b, 42, 43a, 44a, 44b, 46b, 50, 53","I/6b or 29b or 37b or 41a, or 42 or 43a or 53"
1,52,a,Argive Hoplite Army 669-449 BC,a2,Arable,2,Sp,9xSp,2xPs,,,,,,,,,1,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"I/30c, 52b, 52e, 52f",
1,52,b,Spartan Hoplite Army 668-449 BC,a2,Arable,2,Sp,10xSp,1xSp or 7Hd,,,,,,,,,1,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"I/7c, 52a, 52c, 52d, 52e, 52f, 60c",I/52f and/or 52g
1,52,c,Thessalian Hoplite Army 668-449 BC,a2,Arable,2,Cv or Sp,3xLH,4xSp,4xPs,,,,,,,,2,,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"I/47, 52b, 52d, 52h, 54",I/52e
1,52,d,Theban Hoplite Army 668-449 BC,a2,Arable,2,Sp,1xCv,9xSp,1xPs,,,,,,,,1,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"I/47, 52b, 52c, 52e, 52f, 52h",
1,52,e,Early Athenian Hoplite Army 668-541 BC,a2,Arable,2,Sp,9xSp,2xPs,,,,,,,,,1,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"I/48, 52a, 52b, 52d",
1,52,f,Later Athernian Hoplite Army 540-449 BC,l2,Littoral,2,Sp,7xSp,1xCv or LH or Sp,1xPs or Sp,1xPs or 3Bw,1xPs,,,,,,1,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"I/48, 52a, 52b, 52d, 53, 60c",
1,52,g,Asiatic Greek Hoplite Army 668-449 BC,l2,Littoral,2,Cv,1xCv,9xSp,1xPs,,,,,,,,1,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"I/35c, 48, 50, 52g, 60a, 60c, 62",
1,52,h,Aitolian or Arkarnarnian Army 668-449 BC,h2,Hilly,2,Sp,3xSp,8xPs,,,,,,,,,1,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"I/47, 52c, 52d, 52h, 60a",
1,52,i,Italiot or Siciliot Hoplite Army 668-449 BC,l2,Littoral,2,Cv,1xCv or LH,4xSp,4x3Ax or Sp,2xPs,,,,,,,1,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"I/36a, 36c, 36d, 52i, 55a, 55b, 55c, 57a, 61a",I/36c
1,52,j,Any other Hoplite Army 669-449 BC,l2,Littoral,2,Cv or Sp,9xSp,2xSp or Ps,,,,,,,,,2,,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,I/52j,
1,53,,Saitic Egyptian Army 664-335 BC,l1,Littoral,1,HCh or Cv,1xLH,6xSp,2x4Bw,1x4Ax or Ps,1xPs,,,,,,2,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"I/6a, 6b, 7c, 29b, 34c, 35c, 44a, 44b, 46c, 51, 52f, 56a, 58, 60a, 60c, II/7",I/7c or 52a or 56a
1,54,,Early Macedonian Army 650-355 BC,a0,Arable,0,3Kn,1x3Kn,2xSp or 4Ax or 3Ax,6x3Ax,2xPs,,,,,,,1,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"I/47, 48, 52c, 60a, 63, II/5a, 5b, 5d, 5i, ",I/47 or II/5b
1,55,a,Etruscan Army 650-600 BC,a2,Arable,2,LCh or Cv,2xCv,6xSp,1x4Bd or Sp,2xPs,,,,,,,2,,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"I/36a, 36d, 52i, 55a, 55b, 55c, 55d, 55e",
1,55,b,Roman Army 650-578 BC,a2,Arable,2,LCh or Cv,1xCv,8xSp,2xPs,,,,,,,,2,,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"I/36a, 36d, 52i, 55a, 55c, 55d, 55e, 57a",
1,55,c,Latin Army 650-400 BC,a2,Arable,2,LCh or Cv,1xCv,7xSp,1x Sp or Ps,2xPs,,,,,,,2,,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"I/36a, 36d, 52i, 55a, 55b, 55e, 57a, 59",I/36d or 52i
1,55,d,Latin Army 399-338 BC,a2,Arable,2,Cv,1xCv,2x4Bd,4xSp,4xPs,,,,,,,1,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"I/36a, 36d, 55a, 55b, 55e, 57b, II/8a, 8b, 8c, 10, 11, 13",I/36a or 36d or 52i or II/8b or 9a or 11
1,55,e,Umbrian Army 650-290 BC,a2,Arable,2,LCh or Cv,1xCv,2xSp,6x3Ax,2xPs,,,,,,,2,,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"I/36a, 36d, 55a, 55b, 55c, 55d, 57a, 57b, 59, II/10, 11, 13",
1,56,a,Kyrenean Greek Army 630-314 BC,l0,Littoral,0,HCh/Sp or Cv,3xHCh/Sp or Sp,5xSp,3xPs,,,,,,,,3,,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"I/7c, 53, 60a, 60c, 61a, II/7, 12, 20a",I/7c or 7d or 61b
1,56,b,Kyrenean Greek Army 313-74 BC,l0,Littoral,0,3Kn or Cv or Sp,2x4Pk or 4Ax or Sp,6xSp,3xPs,,,,,,,,3,,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"I/7d, 60c, 61b, II/20b, 20c, 20d",I/7c or 7d
1,57,a,Etruscan League Army 600-400 BC,a3,Arable,3,LCh or Cv,1xCv,1x4Bd or Sp,2xSp,5xSp,1xPs,1x7Hd or Ps,,,,,2,,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"I/36a, 36d, 52i, 55b, 55c, 55e, 59",I/36a or 36d or 52i or 55c or 55e or 59 or II/5g or 11
1,57,b,Etruscan League Army 399-280 BC,a3,Arable,3,Cv,1xCv,2x4Bd or Sp,2x4Bd or Sp,4xSp,1xPs,1x7Hd or Ps,,,,,1,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"I/36a, 36d, 55d, 55e, II/8a, 8b, 8c, 9a, 10, 11, 13",I/36a or 36d or 55c or or 55d or 55e or II/5e or 11 or 13
1,58,,Meroitic Kushite Army 592 BC-350 AD,s1,Steppe,1,Cv or El or 3/4Bw,1xCv or 3Bw or 4Bw,2x3Bw or 4Bw,5xSp,2x4Bd,1xPs,,,,,,3,,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"I/53, 50a, II/20a, 20b, 20c, 20d, 55a, 55b, 56, 62a, 64b",II/55a or 55b
1,59,,Tullian Roman 578-400 BC,a3,Arable,3,Cv or Sp,1xCv,4xSp,3xSp,1x3Ax,2xPs,,,,,,2,,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"I/36a, 36d, 55c, 55e, 57a, II/8a, 8b, 8c",I/36a or 36d or 55c
1,60,a,Achaemenid Army 550-547 BC,a3,Arable,3,LCh or Cv,1xCv,1xCv or LH,1x8Bw,3x8Bw,1x3Ax,2x3Bw or Ps,2x7Hd,,,,2,,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"I/6b, 7c, 8b, 23b, 35c, 35d, 41b, 43a, 43c, 44b, 48, 50, 52g, 52h, 53, 54, 56a, 58, 62, 63, II/1, 2, 3a",I/41b or 43a or 52d or 62
1,60,b,Cyrus' Army according to the Cyropedia 546-540 BC,a3,Arable,3,Cv,1xCv,1xSCh,5x8Bw,1xWWg,1xCm,1x3Ax,1xPs,,,,1,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,I/50,
1,60,c,Achaemenid Army 539-420 BC,a3,Arable,3,LCh or Cv,1xCv,1xCv or LH,1x8Bw or 4Bw,3x8Bw or 3/4Bw,1x3Ax,1xSp,3x7Hd or Ps,,,,2,,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"I/6a, 6b, 7c, 8b, 23b, 35d, 43a, 43c, 52b, 52f, 52g, 53, 56a, 56b, II/1, 2, 3a, 5b, 6",I/62
1,61,a,Early Carthaginian Army 550-341 BC,l3,Littoral,3,Sp or Cv or HCh,1xHCh,1xCv,4xSp,2xSp or 4Ax,1x3Ax or 4Wb,2xPs,,,,,3,,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"I/7c, 36b, 36c, 52i, 56, II/5h, 9a",I/7c or 36c or 52i or II/5h
1,61,b,Early Carthaginian Army 340-275 BC,l3,Littoral,3,Sp or Cv or HCh,1xHCh,1xCv,1xLH or 4Ax,2xSp,2xSp,1xSp or 4Ax,1x4Wb or 3Ax,2xPs,,,3,,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"I/36b, 36c, 56b, II/5h, 9a, 9b, 27b",I/36c or II/5h or 40
1,62,,Lykian Army 546-300 BC,h1,Hilly,1,LCh or Cv,4x3/4Ax,4x3/4Ax or Sp,1x3Bd,2xPs,,,,,,,2,,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"I/52g, 60a, II/5b, 12, 16a, 16b, 19a",
1,63,,Paionian Army 512-284 BC,h3,Hilly,3,LH or 3/4Ax,1xLH,1x3/4AX,7xPs or 3Ax,2xPs,,,,,,,2,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"I/47, 48, 54, 60a, II/12, 17a, 17b, 18a, 18b, 30a",I/47 or II/18c
1,64,a,Yayoi culture Japanese Army 500 BC-274 AD,h1,Hilly,1,3/4Bw or 4Bd or 4Ax,3x4Bd,3x4Ax,5x3Bw or Ps,,,,,,,,3,,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,I/64a,
1,64,b,Kofun culture Japanese Army 275-407 AD,h2,Hilly,2,4Bw,3x4Bw,4x3/4Bw,2x3Bw,2xSp/4Pk,,,,,,,1,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"II/75, 76, 77",II/75
1,64,c,Kofun culture 408-500 AD,h2,Hilly,2,4Bw or Cv,2x4Bw,4x3/4Bw,2x3Bw,2xSp/4Pk,1xCV or Ps,,,,,,2,,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"II/75, 76, 77",II/75
2,1,,Republican Indian Army 500-321 BC,t0,Tropical,0,HCh or Cv,1xHCh or Cv or 3/4Lb or 3Bd,2xCv,2x4Ax,6x3/4Lb,,,,,,,2,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"I/60a, 60c, II/1, 2, 3a, 15",
2,2,,Mountain Indian Army 500-170 BC,h1,Hilly,1,LH or El,2xLH,4x3Pk,2xPs,3xPs or 4Ax,,,,,,,2,,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"I/43a, 43b, 43c, 60a, 60c, II/1, 2, 3a, 15, 19a, 19b, 19c, 36a, 35b",
2,3,,Classical Indian Army 500 BC-178 AD,t0,Tropical,0,El,2xEl,2xLCh or HCh,2xCv,3x4Lb,1x4Ax,1x7Hd or Ps,,,,,1,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"I/43b, 60a, 60c, II/1, 2, 3a, 15, 19a, 19b, 19c, 36a, 36b, 37, 42a, 42b, 46b",
2,3,,Classical Indian Army 179 AD-545 AD,t0,Tropical,0,El,2xEl,2xHCh or Cv,2xCv,3x3Lb,1x4Ax or Sp or LH,1x7Hd or Ps,,,,,1,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"II/3b, II/37, 42a, 42b, 46b, 80c, 80d",
2,4,a,Ch'in Chinese Army 355-221 BC,a3,Arable,3,HCh,1xHCh,1xCv,4x4Wb,3x3/4Cb,1xPs or LH,1xPs,,,,,1,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"I/14d, 43a, 49a, II/4b, 4c, 4e, 21a, 29, 38a",
2,4,b,Yueh Chinese Army 480-333 BC,a1,Arable,1,HCh,4x3Pk,2x4Cb or Ps,2x3Pk or 3Wb,3xPs,,,,,,,1,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"I/49a, II/4a, 4c, 4d, 4e",
2,4,c,Chao Chinese Army 307-202 BC,a1,Arable,1,HCh or Cv,1xHCh or LH,2xLH,3x4Cb,4x4Bd or Ax,1xPs,,,,,,2,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"I/14e, 43a, II/4a, 4b, 4e, 38a",
2,4,d,Other Chinese Armies 480-356 BC,a1,Arable,1,HCh,1xHCh,1x3Bd or Ps,4x3Pk,1x3/4Cb,2x3Pk or 3Wb,2xPs,,,,,1,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"I/14d, 49a, II/4b, 4d",
2,4,e,Other Chinese Armies 355-202 BC,a1,Arable,1,HCh or Cv,1xHCh or Ps,1xCv or LH or Ps,2x4Cb,2x4Ax or 4Bd,1x3Bd or Ps,4x3/4CB or 4Ax or 4Bd or 7Hd or 5Hd,,,,,2,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"I/43a, 43b, 49a, 49b, II/4a, 4b, 4c, 4e, 21a, 38a",
2,5,a,Spartan Army in Greece 448-276 BC,a3,Arable,3,Sp,9xSp,1xSp or 4Ax or Ps,1xSp or Cv,,,,,,,,1,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"I/54, II/5b, 5c, 5d, 5i, 12, 16b, 17a, 17b, 27b","II/5b, 5c, 5f"
2,5,b,Athenian Army 448-278 BC,l2,Littoral,2,Sp,1xCv,1xLH,4xSp,3xPs or Sp,1xSp or Ps,1xPs or 3Bw,,,,,1,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"I/48, 54, 60c, 62, II/5a, 5b, 5c, 5d, 5e, 5f, 5h, 5i, 5k, 7, 9a, 12, 15, 16b, 17a, 17b, 18a, 18c, 30a","I/54, II/5c, 5d, 5e, 5k"
2,5,c,Theban Army 448-278 BC,a1,Arable,1,8Sp or Sp,1x8Sp or Sp,5xSp,1xSp or Ps,2xCv,2xPs,,,,,,1,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"II/5a, 5b, 5d, 5e, 5f, 5i, 12, 16b, 30","II/5b, 5d, 5e, 5i"
2,5,d,Thessalian Army 448-320 BC,a1,Arable,1,Cv,3xLH or 3xCv,6xSp,2xSp or Ps,,,,,,,,1,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"I/47, 54, II/5a, 5b, 5c, 5d, 5e, 5f, 12, 15, 17a, 17b, 30a",
2,5,e,Aitolian 448-278 BC or Arkarnarnian 448-225 BC Army ,h1,Hilly,1,Sp,3xSp,7xPs,1xLH or Ps,,,,,,,,1,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"I/47, II/5b, 5c, 5d, 5i, 15, 18a, 18b, 18c, 30a, 33",II/5d
2,5,f,Phokian Army 357-347 BC,a1,Arable,1,Sp,5xSp,3xPs,1xCv or Sp,1xArt or Ps,1xPs,,,,,,1,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"II/5b, 5c, 5d, 12","II/5a, 5b"
2,5,g,Italiot Army 448-280 BC,l1,Littoral,1,Sp or Cv,1xCv or LH,2xLH,7xSp,1xPs,,,,,,,2,,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"II/5g, 5h, 8a, 8b, 9a, 10, 13, 33","II/5a, 5g"
